"179,CASWELL HALL,CASWELL FL 3M,CASWELL 307,CASWELL 307,CASWELL 307-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"180,CASWELL HALL,CASWELL FL 3M,CASWELL 307,CASWELL 307,CASWELL 307-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"181,CASWELL HALL,CASWELL FL 3M,CASWELL 308,CASWELL 308,CASWELL 308-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"182,CASWELL HALL,CASWELL FL 3M,CASWELL 308,CASWELL 308,CASWELL 308-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"183,CASWELL HALL,CASWELL FL 3N,CASWELL 310,CASWELL 310,CASWELL 310-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"184,CASWELL HALL,CASWELL FL 3N,CASWELL 310,CASWELL 310,CASWELL 310-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"185,CASWELL HALL,CASWELL FL 3N,CASWELL 311,CASWELL 311,CASWELL 311-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"186,CASWELL HALL,CASWELL FL 3N,CASWELL 311,CASWELL 311,CASWELL 311-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"187,CASWELL HALL,CASWELL FL 3N,CASWELL 312,CASWELL 312,CASWELL 312-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"188,CASWELL HALL,CASWELL FL 3N,CASWELL 312,CASWELL 312,CASWELL 312-2,Double,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"189,CASWELL HALL,CASWELL FL 4S,CASWELL 401,CASWELL 401,CASWELL 401-1,Double,,CoEd,24-25 SubstanceFree,"
"190,CASWELL HALL,CASWELL FL 4S,CASWELL 401,CASWELL 401,CASWELL 401-2,Double,,CoEd,24-25 SubstanceFree,"
"191,CASWELL HALL,CASWELL FL 4S,CASWELL 402,CASWELL 402,CASWELL 402-1,Double,,CoEd,24-25 SubstanceFree,"
"192,CASWELL HALL,CASWELL FL 4S,CASWELL 402,CASWELL 402,CASWELL 402-2,Double,,CoEd,24-25 SubstanceFree,"
"193,CASWELL HALL,CASWELL FL 4S,CASWELL 403,CASWELL 403,CASWELL 403-1,Double,,CoEd,24-25 SubstanceFree,"
"194,CASWELL HALL,CASWELL FL 4S,CASWELL 403,CASWELL 403,CASWELL 403-2,Double,,CoEd,24-25 SubstanceFree,"
"195,CASWELL HALL,CASWELL FL 4S,CASWELL 404,CASWELL 404,CASWELL 404-1,Double,,CoEd,24-25 SubstanceFree,"
"196,CASWELL HALL,CASWELL FL 4S,CASWELL 404,CASWELL 404,CASWELL 404-2,Double,,CoEd,24-25 SubstanceFree,"
"197,CASWELL HALL,CASWELL FL 4M,CASWELL 405,CASWELL 405,CASWELL 405-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"198,CASWELL HALL,CASWELL FL 4M,CASWELL 405,CASWELL 405,CASWELL 405-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"199,CASWELL HALL,CASWELL FL 4M,CASWELL 406,CASWELL 406,CASWELL 406-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"200,CASWELL HALL,CASWELL FL 4M,CASWELL 406,CASWELL 406,CASWELL 406-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"201,CASWELL HALL,CASWELL FL 4M,CASWELL 407,CASWELL 407,CASWELL 407-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"202,CASWELL HALL,CASWELL FL 4M,CASWELL 407,CASWELL 407,CASWELL 407-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"203,CASWELL HALL,CASWELL FL 4M,CASWELL 408,CASWELL 408,CASWELL 408-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"204,CASWELL HALL,CASWELL FL 4M,CASWELL 408,CASWELL 408,CASWELL 408-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"205,CASWELL HALL,CASWELL FL 4N,CASWELL 409,CASWELL 409,CASWELL 409-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"206,CASWELL HALL,CASWELL FL 4N,CASWELL 409,CASWELL 409,CASWELL 409-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"207,CASWELL HALL,CASWELL FL 4N,CASWELL 410,CASWELL 410,CASWELL 410-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"208,CASWELL HALL,CASWELL FL 4N,CASWELL 410,CASWELL 410,CASWELL 410-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"209,CASWELL HALL,CASWELL FL 4N,CASWELL 411,CASWELL 411,CASWELL 411-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"210,CASWELL HALL,CASWELL FL 4N,CASWELL 411,CASWELL 411,CASWELL 411-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"211,CASWELL HALL,CASWELL FL 4N,CASWELL 412,CASWELL 412,CASWELL 412-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"212,CASWELL HALL,CASWELL FL 4N,CASWELL 412,CASWELL 412,CASWELL 412-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"213,CHAPINHOUSE,CHAPINFL1,CHAPIN106,CHAPIN106,CHAPIN106-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"214,CHAPINHOUSE,CHAPINFL1,CHAPIN107,CHAPIN107,CHAPIN107-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"215,CHAPINHOUSE,CHAPINFL1,CHAPIN107,CHAPIN107,CHAPIN107-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"216,CHAPINHOUSE,CHAPINFL1,CHAPIN108,CHAPIN108,CHAPIN108-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"217,CHAPINHOUSE,CHAPINFL1,CHAPIN108,CHAPIN108,CHAPIN108-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"218,CHAPINHOUSE,CHAPINFL1,CHAPIN113,CHAPIN113,CHAPIN113-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"219,CHAPINHOUSE,CHAPINFL1,CHAPIN113,CHAPIN113,CHAPIN113-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"220,CHAPINHOUSE,CHAPINFL1,CHAPIN114B,CHAPIN114B,CHAPIN114B-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"221,CHAPINHOUSE,CHAPINFL1,CHAPIN117,CHAPIN117,CHAPIN117-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"222,CHAPINHOUSE,CHAPINFL1,CHAPIN117,CHAPIN117,CHAPIN117-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"223,CHAPINHOUSE,CHAPINFL1,CHAPIN120,CHAPIN120,CHAPIN120-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"224,CHAPINHOUSE,CHAPINFL1,CHAPIN124,CHAPIN124,CHAPIN124-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"225,CHAPINHOUSE,CHAPINFL1,CHAPIN124,CHAPIN124,CHAPIN124-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"226,CHAPINHOUSE,CHAPINFL1,CHAPIN126,CHAPIN126,CHAPIN126-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"227,CHAPINHOUSE,CHAPINFL2,CHAPIN201,CHAPIN201,CHAPIN201-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"228,CHAPINHOUSE,CHAPINFL2,CHAPIN201,CHAPIN201,CHAPIN201-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"229,CHAPINHOUSE,CHAPINFL2,CHAPIN202,CHAPIN202,CHAPIN202-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"230,CHAPINHOUSE,CHAPINFL2,CHAPIN202,CHAPIN202,CHAPIN202-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"231,CHAPINHOUSE,CHAPINFL2,CHAPIN204,CHAPIN204,CHAPIN204-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"232,CHAPINHOUSE,CHAPINFL2,CHAPIN204,CHAPIN204,CHAPIN204-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"233,CHAPINHOUSE,CHAPINFL2,CHAPIN206B,CHAPIN206B,CHAPIN206B-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"234,CHAPINHOUSE,CHAPINFL2,CHAPIN207,CHAPIN207,CHAPIN207-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"235,CHAPINHOUSE,CHAPINFL2,CHAPIN207,CHAPIN207,CHAPIN207-2,Double,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"236,CHAPINHOUSE,CHAPINFL2,CHAPIN208,CHAPIN208,CHAPIN208-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"237,CHAPINHOUSE,CHAPINFL2,CHAPIN208,CHAPIN208,CHAPIN208-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"238,CHAPINHOUSE,CHAPINFL2,CHAPIN210,CHAPIN210,CHAPIN210-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"239,CHAPINHOUSE,CHAPINFL2,CHAPIN211,CHAPIN211,CHAPIN211-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"240,CHAPINHOUSE,CHAPINFL2,CHAPIN212,CHAPIN212,CHAPIN212-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"241,CHAPINHOUSE,CHAPINFL2,CHAPIN213,CHAPIN213,CHAPIN213-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"242,CHAPINHOUSE,CHAPINFL2,CHAPIN213,CHAPIN213,CHAPIN213-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"243,CHAPINHOUSE,CHAPINFL2,CHAPIN214,CHAPIN214,CHAPIN214-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"244,CHAPINHOUSE,CHAPINFL2,CHAPIN214,CHAPIN214,CHAPIN214-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"245,CHAPINHOUSE,CHAPINFL2,CHAPIN217,CHAPIN217,CHAPIN217-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"246,CHAPINHOUSE,CHAPINFL2,CHAPIN217,CHAPIN217,CHAPIN217-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"247,CHAPINHOUSE,CHAPINFL2,CHAPIN223,CHAPIN223,CHAPIN223-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"248,CHAPINHOUSE,CHAPINFL2,CHAPIN223,CHAPIN223,CHAPIN223-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"249,CHAPINHOUSE,CHAPINFL2,CHAPIN224,CHAPIN224,CHAPIN224-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"250,CHAPINHOUSE,CHAPINFL2,CHAPIN224,CHAPIN224,CHAPIN224-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"251,CHAPINHOUSE,CHAPINFL2,CHAPIN228,CHAPIN228,CHAPIN228-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"252,CHAPINHOUSE,CHAPINFL2,CHAPIN228,CHAPIN228,CHAPIN228-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"253,CHAPINHOUSE,CHAPINFL2,CHAPIN229,CHAPIN229,CHAPIN229-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"254,CHAPINHOUSE,CHAPINFL2,CHAPIN229,CHAPIN229,CHAPIN229-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"255,CHAPINHOUSE,CHAPINFL2,CHAPIN230,CHAPIN230,CHAPIN230-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"256,CHAPINHOUSE,CHAPINFL2,CHAPIN230,CHAPIN230,CHAPIN230-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"257,CHAPINHOUSE,CHAPINFL3,CHAPIN301,CHAPIN301,CHAPIN301-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"258,CHAPINHOUSE,CHAPINFL3,CHAPIN301,CHAPIN301,CHAPIN301-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"259,CHAPINHOUSE,CHAPINFL3,CHAPIN302,CHAPIN302,CHAPIN302-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"260,CHAPINHOUSE,CHAPINFL3,CHAPIN302,CHAPIN302,CHAPIN302-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"261,CHAPINHOUSE,CHAPINFL3,CHAPIN304,CHAPIN304,CHAPIN304-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"262,CHAPINHOUSE,CHAPINFL3,CHAPIN304,CHAPIN304,CHAPIN304-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"263,CHAPINHOUSE,CHAPINFL3,CHAPIN306A,CHAPIN306A,CHAPIN306A-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"264,CHAPINHOUSE,CHAPINFL3,CHAPIN306B,CHAPIN306B,CHAPIN306B-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"265,CHAPINHOUSE,CHAPINFL3,CHAPIN307,CHAPIN307,CHAPIN307-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"266,CHAPINHOUSE,CHAPINFL3,CHAPIN307,CHAPIN307,CHAPIN307-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"267,CHAPINHOUSE,CHAPINFL3,CHAPIN308,CHAPIN308,CHAPIN308-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"268,CHAPINHOUSE,CHAPINFL3,CHAPIN308,CHAPIN308,CHAPIN308-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"269,CHAPINHOUSE,CHAPINFL3,CHAPIN313,CHAPIN313,CHAPIN313-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"270,CHAPINHOUSE,CHAPINFL3,CHAPIN313,CHAPIN313,CHAPIN313-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"271,CHAPINHOUSE,CHAPINFL3,CHAPIN314,CHAPIN314,CHAPIN314-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"272,CHAPINHOUSE,CHAPINFL3,CHAPIN314,CHAPIN314,CHAPIN314-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"273,CHAPINHOUSE,CHAPINFL3,CHAPIN317,CHAPIN317,CHAPIN317-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"274,CHAPINHOUSE,CHAPINFL3,CHAPIN317,CHAPIN317,CHAPIN317-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"275,CHAPINHOUSE,CHAPINFL3,CHAPIN323,CHAPIN323,CHAPIN323-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"276,CHAPINHOUSE,CHAPINFL3,CHAPIN323,CHAPIN323,CHAPIN323-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"277,CHAPINHOUSE,CHAPINFL3,CHAPIN324,CHAPIN324,CHAPIN324-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"278,CHAPINHOUSE,CHAPINFL3,CHAPIN324,CHAPIN324,CHAPIN324-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"279,CHAPINHOUSE,CHAPINFL3,CHAPIN328,CHAPIN328,CHAPIN328-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"280,CHAPINHOUSE,CHAPINFL3,CHAPIN328,CHAPIN328,CHAPIN328-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"281,CHAPINHOUSE,CHAPINFL3,CHAPIN329,CHAPIN329,CHAPIN329-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"282,CHAPINHOUSE,CHAPINFL3,CHAPIN329,CHAPIN329,CHAPIN329-2,Double,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"283,CHAPINHOUSE,CHAPINFL3,CHAPIN330,CHAPIN330,CHAPIN330-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"284,CHAPINHOUSE,CHAPINFL3,CHAPIN330,CHAPIN330,CHAPIN330-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"285,CHAPINHOUSE,CHAPINFL4,CHAPIN402,CHAPIN402,CHAPIN402-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"286,CHAPINHOUSE,CHAPINFL4,CHAPIN402,CHAPIN402,CHAPIN402-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"287,CHAPINHOUSE,CHAPINFL4,CHAPIN404,CHAPIN404,CHAPIN404-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"288,CHAPINHOUSE,CHAPINFL4,CHAPIN404,CHAPIN404,CHAPIN404-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"289,CHAPINHOUSE,CHAPINFL4,CHAPIN406,CHAPIN406,CHAPIN406-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"290,CHAPINHOUSE,CHAPINFL4,CHAPIN406,CHAPIN406,CHAPIN406-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"291,CHAPINHOUSE,CHAPINFL4,CHAPIN407,CHAPIN407,CHAPIN407-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"292,CHAPINHOUSE,CHAPINFL4,CHAPIN407,CHAPIN407,CHAPIN407-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"293,CHAPINHOUSE,CHAPINFL4,CHAPIN426,CHAPIN426,CHAPIN426-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"294,CHAPINHOUSE,CHAPINFL4,CHAPIN426,CHAPIN426,CHAPIN426-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"295,CHAPINHOUSE,CHAPINFL4,CHAPIN428,CHAPIN428,CHAPIN428-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"296,CHAPINHOUSE,CHAPINFL4,CHAPIN428,CHAPIN428,CHAPIN428-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"297,CHENFAMILYHALL,CHENFL1,CHEN117,CHEN117 117B,CHEN117 117B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"298,CHENFAMILYHALL,CHENFL1,CHEN118,CHEN118 118B,CHEN118 118B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"299,CHENFAMILYHALL,CHENFL2,CHEN207,CHEN207 207D,CHEN207 207D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"300,CHENFAMILYHALL,CHENFL2,CHEN218,CHEN218 218A,CHEN218 218A-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"301,CHENFAMILYHALL,CHENFL2,CHEN218,CHEN218 218B,CHEN218 218B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"302,CHENFAMILYHALL,CHENFL2,CHEN218,CHEN218 218C,CHEN218 218C-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"303,CHENFAMILYHALL,CHENFL2,CHEN218,CHEN218 218D,CHEN218 218D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"304,CHENFAMILYHALL,CHENFL2,CHEN219,CHEN219 219D,CHEN219 219D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"305,CHENFAMILYHALL,CHENFL2,CHEN220,CHEN220 220A,CHEN220 220A-1,Single(Suite/Apartment),2,CoEd,24-25 SpringGeneralSelection,"
"306,CHENFAMILYHALL,CHENFL2,CHEN220,CHEN220 220B,CHEN220 220B-1,Single(Suite/Apartment),2,CoEd,24-25 SpringGeneralSelection,"
"307,CHENFAMILYHALL,CHENFL2,CHEN222,CHEN222 222A,CHEN222 222A-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"308,CHENFAMILYHALL,CHENFL2,CHEN222,CHEN222 222B,CHEN222 222B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"309,CHENFAMILYHALL,CHENFL2,CHEN222,CHEN222 222C,CHEN222 222C-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"310,CHENFAMILYHALL,CHENFL2,CHEN222,CHEN222 222D,CHEN222 222D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"311,CHENFAMILYHALL,CHENFL3,CHEN310,CHEN310 310B,CHEN310 310B-1,Single(Suite/Apartment),2,Female,24-25 SpringGeneralSelection,"
"312,CHENFAMILYHALL,CHENFL3,CHEN313,CHEN313 313D,CHEN313 313D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"313,CHENFAMILYHALL,CHENFL3,CHEN318,CHEN318 318A,CHEN318 318A-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"314,CHENFAMILYHALL,CHENFL3,CHEN318,CHEN318 318B,CHEN318 318B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"315,CHENFAMILYHALL,CHENFL3,CHEN318,CHEN318 318C,CHEN318 318C-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"316,CHENFAMILYHALL,CHENFL3,CHEN318,CHEN318 318D,CHEN318 318D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"317,CHENFAMILYHALL,CHENFL3,CHEN319,CHEN319 319A,CHEN319 319A-1,Single(Suite/Apartment),4,DynamicGender,24-25 SpringGeneralSelection,"
"318,CHENFAMILYHALL,CHENFL3,CHEN319,CHEN319 319B,CHEN319 319B-1,Single(Suite/Apartment),4,DynamicGender,24-25 SpringGeneralSelection,"
"319,CHENFAMILYHALL,CHENFL3,CHEN319,CHEN319 319C,CHEN319 319C-1,Single(Suite/Apartment),4,DynamicGender,24-25 SpringGeneralSelection,"
"320,CHENFAMILYHALL,CHENFL3,CHEN319,CHEN319 319D,CHEN319 319D-1,Single(Suite/Apartment),4,DynamicGender,24-25 SpringGeneralSelection,"
"321,CHENFAMILYHALL,CHENFL4,CHEN410,CHEN410 410A,CHEN410 410A-1,Single(Suite/Apartment),2,CoEd,24-25 SpringGeneralSelection,"
"322,CHENFAMILYHALL,CHENFL4,CHEN410,CHEN410 410B,CHEN410 410B-1,Single(Suite/Apartment),2,CoEd,24-25 SpringGeneralSelection,"
"323,CHENFAMILYHALL,CHENFL4,CHEN418,CHEN418 418A,CHEN418 418A-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"324,CHENFAMILYHALL,CHENFL4,CHEN418,CHEN418 418B,CHEN418 418B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"325,CHENFAMILYHALL,CHENFL4,CHEN418,CHEN418 418C,CHEN418 418C-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"326,CHENFAMILYHALL,CHENFL4,CHEN418,CHEN418 418D,CHEN418 418D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"327,CHENFAMILYHALL,CHENFL5,CHEN514,CHEN514 514A,CHEN514 514A-1,Single(Suite/Apartment),2,CoEd,24-25 SpringGeneralSelection,"
"328,CHENFAMILYHALL,CHENFL5,CHEN514,CHEN514 514B,CHEN514 514B-1,Single(Suite/Apartment),2,CoEd,24-25 SpringGeneralSelection,"
"329,CHENFAMILYHALL,CHENFL5,CHEN520,CHEN520 520A,CHEN520 520A-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"330,CHENFAMILYHALL,CHENFL5,CHEN520,CHEN520 520B,CHEN520 520B-1,Single(Suite/Apartment),3,CoEd,24-25 SpringGeneralSelection,"
"331,DANOFFHALL,DANOFFFL 2,DANOFF205,DANOFF205 205A,DANOFF205 205A-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"332,DANOFFHALL,DANOFFFL 2,DANOFF219,DANOFF219 219A,DANOFF219 219A-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"333,DANOFFHALL,DANOFFFL 2,DANOFF219,DANOFF219 219B,DANOFF219 219B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"334,DANOFFHALL,DANOFFFL 2,DANOFF219,DANOFF219 219C,DANOFF219 219C-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"335,DANOFFHALL,DANOFFFL 2,DANOFF219,DANOFF219 219D,DANOFF219 219D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"336,DANOFFHALL,DANOFFFL 2,DANOFF224,DANOFF224 224B,DANOFF224 224B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"337,DANOFFHALL,DANOFFFL 3,DANOFF302,DANOFF302 302B,DANOFF302 302B-1,Single(Suite/Apartment),2,CoEd,24-25 SpringGeneralSelection,"
"338,DANOFFHALL,DANOFFFL 3,DANOFF304,DANOFF304 304B,DANOFF304 304B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"339,DANOFFHALL,DANOFFFL 3,DANOFF319,DANOFF319 319A,DANOFF319 319A-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"340,DANOFFHALL,DANOFFFL 3,DANOFF319,DANOFF319 319B,DANOFF319 319B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"341,DANOFFHALL,DANOFFFL 3,DANOFF319,DANOFF319 319C,DANOFF319 319C-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"342,DANOFFHALL,DANOFFFL 3,DANOFF319,DANOFF319 319D,DANOFF319 319D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"343,DANOFFHALL,DANOFFFL 3,DANOFF320,DANOFF320 320A,DANOFF320 320A-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"344,DANOFFHALL,DANOFFFL 3,DANOFF320,DANOFF320 320B,DANOFF320 320B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"345,DANOFFHALL,DANOFFFL 3,DANOFF320,DANOFF320 320C,DANOFF320 320C-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"346,DANOFFHALL,DANOFFFL 3,DANOFF320,DANOFF320 320D,DANOFF320 320D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"347,DANOFFHALL,DANOFFFL 4,DANOFF420,DANOFF420 420A,DANOFF420 420A-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"348,DANOFFHALL,DANOFFFL 4,DANOFF420,DANOFF420 420B,DANOFF420 420B-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"349,DANOFFHALL,DANOFFFL 4,DANOFF420,DANOFF420 420C,DANOFF420 420C-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"350,DANOFFHALL,DANOFFFL 4,DANOFF420,DANOFF420 420D,DANOFF420 420D-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"351,DANOFFHALL,DANOFFFL 5,DANOFF512,DANOFF512 512A,DANOFF512 512A-1,Single(Suite/Apartment),2,DynamicGender,24-25 SpringGeneralSelection,"
"352,DANOFFHALL,DANOFFFL 5,DANOFF512,DANOFF512 512B,DANOFF512 512B-1,Single(Suite/Apartment),2,DynamicGender,24-25 SpringGeneralSelection,"
"353,DANOFFHALL,DANOFFFL 5,DANOFF515,DANOFF515 515A,DANOFF515 515A-1,Single(Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"354,DIMANHOUSE,DIMANFL 1,DIMAN117,DIMAN117,DIMAN117-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"355,DIMANHOUSE,DIMANFL 1,DIMAN117,DIMAN117,DIMAN117-2,Double,,CoEd,24-25 SpringGeneralSelection,"
